Time,Iteration,#Processors
0.00183588,1,1
0.00174040,2,1
0.00172656,3,1
0.00173103,4,1
0.00172639,5,1
0.00172993,6,1
0.00202792,7,1
0.00172886,8,1
0.00172822,9,1
0.00171880,10,1
0.00171936,11,1
0.00173694,12,1
0.00174689,13,1
0.00172991,14,1
0.00174168,15,1
0.00173332,16,1
0.00173613,17,1
0.00173355,18,1
0.00174579,19,1
0.00172685,20,1
0.00173363,21,1
0.00172340,22,1
0.00176314,23,1
0.00172977,24,1
0.00174923,25,1
0.00173670,26,1
0.00172526,27,1
0.00174592,28,1
0.00173204,29,1
0.00173155,30,1
0.00202970,31,1
0.00172978,32,1
0.00173729,33,1
0.00174496,34,1
0.00205053,35,1
0.00174166,36,1
0.00172123,37,1
0.00171841,38,1
0.00173893,39,1
0.00204264,40,1
0.00172734,41,1
0.00173301,42,1
0.00172753,43,1
0.00203336,44,1
0.00202079,45,1
0.00172778,46,1
0.00174626,47,1
0.00172534,48,1
0.00172408,49,1
0.00172861,50,1
0.00249061,1,2
0.00098527,2,2
0.00238583,3,2
0.00227725,4,2
0.00101746,5,2
0.00220997,6,2
0.00219412,7,2
0.00088794,8,2
0.00134552,9,2
0.00223498,10,2
0.00247026,11,2
0.00222211,12,2
0.00219523,13,2
0.00243715,14,2
0.00095182,15,2
0.00257074,16,2
0.00130339,17,2
0.00150747,18,2
0.00144994,19,2
0.00155299,20,2
0.00090784,21,2
0.00260508,22,2
0.00202288,23,2
0.00245584,24,2
0.00259130,25,2
0.00251298,26,2
0.00213636,27,2
0.00277331,28,2
0.00213924,29,2
0.00245029,30,2
0.00166877,31,2
0.00223601,32,2
0.00277016,33,2
0.00254939,34,2
0.00102688,35,2
0.00090568,36,2
0.00136232,37,2
0.00215011,38,2
0.00269564,39,2
0.00339130,40,2
0.00223803,41,2
0.00223856,42,2
0.00260335,43,2
0.00271540,44,2
0.00237044,45,2
0.00220433,46,2
0.00155592,47,2
0.00258055,48,2
0.00099193,49,2
0.00222235,50,2
0.00226989,1,3
0.00254515,2,3
0.00263652,3,3
0.00254678,4,3
0.00241632,5,3
0.00243162,6,3
0.00221749,7,3
0.00279565,8,3
0.00281373,9,3
0.00265215,10,3
0.00242566,11,3
0.00239744,12,3
0.00254215,13,3
0.00270525,14,3
0.00288333,15,3
0.00263774,16,3
0.00257555,17,3
0.00280121,18,3
0.00262786,19,3
0.00254427,20,3
0.00201833,21,3
0.00260069,22,3
0.00246009,23,3
0.00245887,24,3
0.00199953,25,3
0.00247467,26,3
0.00243019,27,3
0.00254298,28,3
0.00192990,29,3
0.00249548,30,3
0.00233063,31,3
0.00258785,32,3
0.00204216,33,3
0.00223980,34,3
0.00249052,35,3
0.00242337,36,3
0.00245805,37,3
0.00343795,38,3
0.00255500,39,3
0.00270121,40,3
0.00182399,41,3
0.00136884,42,3
0.00247132,43,3
0.00247058,44,3
0.00239906,45,3
0.00229762,46,3
0.00252141,47,3
0.00252393,48,3
0.00251520,49,3
0.00269265,50,3
0.00426690,1,4
0.00344035,2,4
0.00240202,3,4
0.00379235,4,4
0.00368251,5,4
0.00383408,6,4
0.00398480,7,4
0.00374112,8,4
0.00393189,9,4
0.00370389,10,4
0.00389156,11,4
0.00109013,12,4
0.00349654,13,4
0.00373815,14,4
0.00332673,15,4
0.00368147,16,4
0.00366174,17,4
0.00368803,18,4
0.00122292,19,4
0.00348847,20,4
0.00274333,21,4
0.00544210,22,4
0.00366660,23,4
0.00478729,24,4
0.00230837,25,4
0.00493843,26,4
0.00444185,27,4
0.00486682,28,4
0.00345186,29,4
0.00257030,30,4
0.00403152,31,4
0.00358581,32,4
0.00328140,33,4
0.00488268,34,4
0.00372105,35,4
0.00372522,36,4
0.00368805,37,4
0.00310568,38,4
0.00371809,39,4
0.00098169,40,4
0.00242249,41,4
0.00361702,42,4
0.00461048,43,4
0.00364335,44,4
0.00396993,45,4
0.00456017,46,4
0.00499147,47,4
0.00352363,48,4
0.00372247,49,4
0.00372725,50,4
0.00510563,1,5
0.00436588,2,5
0.00432365,3,5
0.00446532,4,5
0.00489102,5,5
0.00460772,6,5
0.00456437,7,5
0.00465082,8,5
0.00484996,9,5
0.00476357,10,5
0.00470164,11,5
0.00482452,12,5
0.00484116,13,5
0.00479113,14,5
0.00341028,15,5
0.00460147,16,5
0.00448018,17,5
0.00493114,18,5
0.00464050,19,5
0.00515630,20,5
0.00264825,21,5
0.00457400,22,5
0.00468412,23,5
0.00594320,24,5
0.00479841,25,5
0.00436110,26,5
0.00344750,27,5
0.00379913,28,5
0.00459374,29,5
0.00461459,30,5
0.00471254,31,5
0.00582834,32,5
0.00461563,33,5
0.00417837,34,5
0.00584416,35,5
0.00481481,36,5
0.00483405,37,5
0.00504479,38,5
0.00522367,39,5
0.00457040,40,5
0.00232004,41,5
0.00496235,42,5
0.00436000,43,5
0.00397787,44,5
0.00480808,45,5
0.00500217,46,5
0.00315842,47,5
0.00366860,48,5
0.00462417,49,5
0.00477642,50,5
0.00556807,1,6
0.00501379,2,6
0.00701064,3,6
0.00605200,4,6
0.00461585,5,6
0.00462335,6,6
0.00471516,7,6
0.00490626,8,6
0.00457403,9,6
0.00707857,10,6
0.00485596,11,6
0.00620493,12,6
0.00500530,13,6
0.00466014,14,6
0.00485905,15,6
0.00577191,16,6
0.00490122,17,6
0.00363399,18,6
0.00555011,19,6
0.00500909,20,6
0.00511413,21,6
0.00496798,22,6
0.00604306,23,6
0.00484543,24,6
0.00451670,25,6
0.00508230,26,6
0.00589796,27,6
0.00353773,28,6
0.00384100,29,6
0.00689472,30,6
0.00456899,31,6
0.00487326,32,6
0.00489097,33,6
0.00509771,34,6
0.00448909,35,6
0.00459609,36,6
0.00386871,37,6
0.00494256,38,6
0.00447776,39,6
0.00495672,40,6
0.00586895,41,6
0.00361634,42,6
0.00471798,43,6
0.00475413,44,6
0.00550103,45,6
0.00577887,46,6
0.00481539,47,6
0.00507880,48,6
0.00454829,49,6
0.00480460,50,6
0.00593934,1,7
0.00540970,2,7
0.00616199,3,7
0.00598430,4,7
0.00615386,5,7
0.00766027,6,7
0.00644830,7,7
0.00581602,8,7
0.00480048,9,7
0.00571592,10,7
0.00621425,11,7
0.00591104,12,7
0.00570490,13,7
0.00426654,14,7
0.00475997,15,7
0.00574816,16,7
0.00630191,17,7
0.00569900,18,7
0.00580959,19,7
0.00578458,20,7
0.00571665,21,7
0.00502439,22,7
0.00502403,23,7
0.00437751,24,7
0.00623098,25,7
0.00744623,26,7
0.00433234,27,7
0.00443355,28,7
0.00469558,29,7
0.00464682,30,7
0.00583109,31,7
0.00718032,32,7
0.00441066,33,7
0.00574848,34,7
0.00610298,35,7
0.00457507,36,7
0.00597485,37,7
0.00601398,38,7
0.00647442,39,7
0.00595782,40,7
0.00476619,41,7
0.00578755,42,7
0.00609223,43,7
0.00615384,44,7
0.00557620,45,7
0.00461935,46,7
0.00448692,47,7
0.00639868,48,7
0.00608399,49,7
0.00554766,50,7
0.00570103,1,8
0.00513474,2,8
0.00569048,3,8
0.00517592,4,8
0.00357246,5,8
0.00558718,6,8
0.00405378,7,8
0.00348809,8,8
0.00550074,9,8
0.00493796,10,8
0.00564059,11,8
0.00624149,12,8
0.00395942,13,8
0.00526442,14,8
0.00788741,15,8
0.00587222,16,8
0.00514653,17,8
0.00520515,18,8
0.00400423,19,8
0.00345249,20,8
0.00435140,21,8
0.00582959,22,8
0.00669886,23,8
0.00661072,24,8
0.00614171,25,8
0.00615827,26,8
0.00462581,27,8
0.00734341,28,8
0.00650085,29,8
0.00646346,30,8
0.00354906,31,8
0.00619807,32,8
0.00521673,33,8
0.00602725,34,8
0.00579245,35,8
0.00504992,36,8
0.00475255,37,8
0.00597412,38,8
0.00521564,39,8
0.00524643,40,8
0.00471337,41,8
0.00578679,42,8
0.00574791,43,8
0.00460953,44,8
0.00541090,45,8
0.00471527,46,8
0.00705315,47,8
0.00517025,48,8
0.00511239,49,8
0.00701389,50,8
0.00499892,1,9
0.00489632,2,9
0.00491827,3,9
0.00500154,4,9
0.00453926,5,9
0.00493681,6,9
0.00589311,7,9
0.00579269,8,9
0.00603894,9,9
0.00596374,10,9
0.00545393,11,9
0.00513819,12,9
0.00621950,13,9
0.00456379,14,9
0.00489806,15,9
0.00593291,16,9
0.00539262,17,9
0.00428182,18,9
0.00622629,19,9
0.00648355,20,9
0.00720174,21,9
0.00478985,22,9
0.00612629,23,9
0.00542164,24,9
0.00517657,25,9
0.00549901,26,9
0.00587361,27,9
0.00464919,28,9
0.00461872,29,9
0.00624948,30,9
0.00583634,31,9
0.00552622,32,9
0.00498797,33,9
0.00520707,34,9
0.00666525,35,9
0.00489185,36,9
0.00623122,37,9
0.00469550,38,9
0.00510486,39,9
0.00475482,40,9
0.00560122,41,9
0.00519008,42,9
0.00637935,43,9
0.00607118,44,9
0.00442594,45,9
0.00452397,46,9
0.00467063,47,9
0.00600090,48,9
0.00499994,49,9
0.00464132,50,9
0.00602577,1,10
0.00469077,2,10
0.00565894,3,10
0.00460352,4,10
0.00446004,5,10
0.00477389,6,10
0.00589344,7,10
0.00558432,8,10
0.00517974,9,10
0.00443918,10,10
0.00578047,11,10
0.00477985,12,10
0.00625259,13,10
0.00479727,14,10
0.00542731,15,10
0.00499063,16,10
0.00631869,17,10
0.00573972,18,10
0.00714180,19,10
0.00471294,20,10
0.00567171,21,10
0.00594226,22,10
0.00588694,23,10
0.00515384,24,10
0.00628064,25,10
0.00530260,26,10
0.00489060,27,10
0.00568725,28,10
0.00554210,29,10
0.00543386,30,10
0.00658585,31,10
0.00604473,32,10
0.00611999,33,10
0.00909646,34,10
0.00551927,35,10
0.00622456,36,10
0.00562902,37,10
0.00467825,38,10
0.00441954,39,10
0.00490735,40,10
0.00512877,41,10
0.00569742,42,10
0.00466708,43,10
0.00563137,44,10
0.00573743,45,10
0.00662303,46,10
0.00456917,47,10
0.00676819,48,10
0.00527402,49,10
0.00578758,50,10
0.00618921,1,11
0.00598034,2,11
0.00515305,3,11
0.00687959,4,11
0.00552634,5,11
0.00569089,6,11
0.00587937,7,11
0.00561189,8,11
0.01027733,9,11
0.00527786,10,11
0.00649123,11,11
0.00597236,12,11
0.00608167,13,11
0.00443141,14,11
0.00554558,15,11
0.00563060,16,11
0.00613804,17,11
0.00559955,18,11
0.00723263,19,11
0.00625874,20,11
0.00615655,21,11
0.00570428,22,11
0.00503608,23,11
0.00750782,24,11
0.00688625,25,11
0.00653308,26,11
0.00599071,27,11
0.00629451,28,11
0.00555975,29,11
0.00599162,30,11
0.00592537,31,11
0.00626384,32,11
0.00605733,33,11
0.00749849,34,11
0.00580882,35,11
0.00603188,36,11
0.00696321,37,11
0.00695887,38,11
0.00561463,39,11
0.00667871,40,11
0.00668942,41,11
0.00573703,42,11
0.00609232,43,11
0.00567703,44,11
0.00611509,45,11
0.00582665,46,11
0.00505901,47,11
0.00654992,48,11
0.00509372,49,11
0.00573347,50,11
0.00581113,1,12
0.00634716,2,12
0.00657644,3,12
0.00581510,4,12
0.00599188,5,12
0.00540554,6,12
0.00512612,7,12
0.00529682,8,12
0.00615411,9,12
0.00595950,10,12
0.00487252,11,12
0.00612385,12,12
0.00611603,13,12
0.00506725,14,12
0.00700412,15,12
0.00571732,16,12
0.00591535,17,12
0.00442721,18,12
0.00488170,19,12
0.00462453,20,12
0.00455568,21,12
0.00617570,22,12
0.00569847,23,12
0.00663500,24,12
0.00577852,25,12
0.00617809,26,12
0.00608454,27,12
0.00517685,28,12
0.00495317,29,12
0.00497731,30,12
0.00529084,31,12
0.00618500,32,12
0.00499156,33,12
0.00475155,34,12
0.00618421,35,12
0.00672483,36,12
0.00802111,37,12
0.00522631,38,12
0.00606561,39,12
0.00694370,40,12
0.00576347,41,12
0.00580299,42,12
0.00591396,43,12
0.00606509,44,12
0.00473909,45,12
0.00662865,46,12
0.00588312,47,12
0.00517528,48,12
0.00597761,49,12
0.00599759,50,12
0.00616541,1,13
0.00655289,2,13
0.00634295,3,13
0.00604603,4,13
0.00496274,5,13
0.00610574,6,13
0.00611134,7,13
0.00610859,8,13
0.00577205,9,13
0.00657973,10,13
0.00622112,11,13
0.00532673,12,13
0.00558404,13,13
0.00626191,14,13
0.00593660,15,13
0.00724027,16,13
0.00653328,17,13
0.00567663,18,13
0.00609764,19,13
0.00647378,20,13
0.00504201,21,13
0.00594957,22,13
0.00652328,23,13
0.00645481,24,13
0.00799049,25,13
0.00661565,26,13
0.00619803,27,13
0.00473201,28,13
0.00563218,29,13
0.00625740,30,13
0.00629291,31,13
0.00444181,32,13
0.00587490,33,13
0.00616154,34,13
0.00585712,35,13
0.00599639,36,13
0.00660402,37,13
0.00663536,38,13
0.00801824,39,13
0.01640778,40,13
0.00605417,41,13
0.00666928,42,13
0.00630942,43,13
0.00583985,44,13
0.00600238,45,13
0.00662709,46,13
0.00616683,47,13
0.00590577,48,13
0.00615135,49,13
0.00629982,50,13
0.00604302,1,14
0.00615928,2,14
0.00673703,3,14
0.00502568,4,14
0.00579758,5,14
0.00582674,6,14
0.00613903,7,14
0.00502725,8,14
0.00733796,9,14
0.00569772,10,14
0.00632148,11,14
0.00641825,12,14
0.00621619,13,14
0.00618890,14,14
0.00577988,15,14
0.00623086,16,14
0.00591252,17,14
0.00614804,18,14
0.00702105,19,14
0.00554542,20,14
0.00649139,21,14
0.00671486,22,14
0.00470258,23,14
0.00564786,24,14
0.00510729,25,14
0.00643811,26,14
0.00654574,27,14
0.00667436,28,14
0.00611358,29,14
0.00594532,30,14
0.00588323,31,14
0.00581429,32,14
0.00603461,33,14
0.00750800,34,14
0.00721099,35,14
0.00609048,36,14
0.00562193,37,14
0.00670425,38,14
0.00465341,39,14
0.00572752,40,14
0.00619835,41,14
0.00713384,42,14
0.00593002,43,14
0.00625600,44,14
0.00642041,45,14
0.00567753,46,14
0.00573823,47,14
0.00686213,48,14
0.00491329,49,14
0.00569441,50,14
0.00488413,1,15
0.00766781,2,15
0.00632743,3,15
0.00623864,4,15
0.00611265,5,15
0.00742467,6,15
0.00654432,7,15
0.00691054,8,15
0.00725939,9,15
0.00646109,10,15
0.00504978,11,15
0.00623871,12,15
0.00682162,13,15
0.00643778,14,15
0.00685780,15,15
0.00708197,16,15
0.00726118,17,15
0.01314089,18,15
0.00591674,19,15
0.00516020,20,15
0.00620995,21,15
0.00632300,22,15
0.00595865,23,15
0.01501347,24,15
0.00733231,25,15
0.00599773,26,15
0.00771585,27,15
0.00564031,28,15
0.00630315,29,15
0.00597723,30,15
0.00742671,31,15
0.00556584,32,15
0.00659041,33,15
0.00620539,34,15
0.00644068,35,15
0.00610218,36,15
0.00877486,37,15
0.00622406,38,15
0.00690609,39,15
0.00565664,40,15
0.00945386,41,15
0.00601082,42,15
0.00536936,43,15
0.00637518,44,15
0.00503297,45,15
0.00659279,46,15
0.00673933,47,15
0.00683596,48,15
0.00595389,49,15
0.00594119,50,15
0.00493904,1,16
0.00905403,2,16
0.00741776,3,16
0.00643995,4,16
0.00624479,5,16
0.00527960,6,16
0.00764031,7,16
0.00602158,8,16
0.00521263,9,16
0.00601573,10,16
0.00611642,11,16
0.00616878,12,16
0.00630921,13,16
0.00753811,14,16
0.00561574,15,16
0.00667298,16,16
0.00583951,17,16
0.01371852,18,16
0.00582431,19,16
0.00491118,20,16
0.00755076,21,16
0.00612571,22,16
0.00705702,23,16
0.00720022,24,16
0.00595483,25,16
0.00637309,26,16
0.00581589,27,16
0.00713926,28,16
0.00583985,29,16
0.00665765,30,16
0.00672549,31,16
0.00656355,32,16
0.00641087,33,16
0.01164359,34,16
0.00718303,35,16
0.00616446,36,16
0.00713497,37,16
0.00682586,38,16
0.00626826,39,16
0.00491232,40,16
0.00577329,41,16
0.00608486,42,16
0.00613966,43,16
0.00502236,44,16
0.00580433,45,16
0.00607163,46,16
0.00662841,47,16
0.00719767,48,16
0.00499139,49,16
0.00613709,50,16
0.00743774,1,17
0.00693477,2,17
0.00790803,3,17
0.00753805,4,17
0.00755463,5,17
0.00635777,6,17
0.00810149,7,17
0.00874763,8,17
0.00831936,9,17
0.00726148,10,17
0.00771514,11,17
0.00779278,12,17
0.00780140,13,17
0.00693994,14,17
0.00741449,15,17
0.01074036,16,17
0.00867584,17,17
0.00724170,18,17
0.00749946,19,17
0.00768353,20,17
0.00753794,21,17
0.00718952,22,17
0.01364470,23,17
0.00790709,24,17
0.00725064,25,17
0.00798132,26,17
0.00776799,27,17
0.00733457,28,17
0.00693544,29,17
0.00630248,30,17
0.00738468,31,17
0.01249294,32,17
0.00683507,33,17
0.00686602,34,17
0.00760478,35,17
0.00789311,36,17
0.00682620,37,17
0.00750481,38,17
0.00812428,39,17
0.00832323,40,17
0.00786263,41,17
0.00636493,42,17
0.00840023,43,17
0.00758760,44,17
0.00722261,45,17
0.00748340,46,17
0.00810551,47,17
0.00792487,48,17
0.00705907,49,17
0.00651118,50,17
0.00801894,1,18
0.00686651,2,18
0.00772507,3,18
0.00739501,4,18
0.00729705,5,18
0.00835251,6,18
0.00787399,7,18
0.00736191,8,18
0.00736532,9,18
0.00579599,10,18
0.00649519,11,18
0.00793925,12,18
0.00800208,13,18
0.00696604,14,18
0.02188200,15,18
0.00716668,16,18
0.00801736,17,18
0.00734112,18,18
0.00757063,19,18
0.00753006,20,18
0.00785901,21,18
0.00701901,22,18
0.00733652,23,18
0.00762649,24,18
0.00790074,25,18
0.00922897,26,18
0.00720187,27,18
0.00811060,28,18
0.00649328,29,18
0.00722701,30,18
0.00710882,31,18
0.00726734,32,18
0.00634884,33,18
0.00756627,34,18
0.00825398,35,18
0.00790557,36,18
0.02239805,37,18
0.00769122,38,18
0.02138273,39,18
0.01155401,40,18
0.00837856,41,18
0.00457198,42,18
0.00796983,43,18
0.00729302,44,18
0.00832445,45,18
0.00728182,46,18
0.00795451,47,18
0.00845612,48,18
0.00716134,49,18
0.00626130,50,18
0.00812937,1,19
0.00722606,2,19
0.00726939,3,19
0.02057261,4,19
0.00747983,5,19
0.00784316,6,19
0.00733742,7,19
0.00767374,8,19
0.00785215,9,19
0.00760809,10,19
0.00765006,11,19
0.00686652,12,19
0.00843550,13,19
0.00874501,14,19
0.00728628,15,19
0.00734641,16,19
0.02720951,17,19
0.01919697,18,19
0.00868083,19,19
0.00740909,20,19
0.00736425,21,19
0.00677788,22,19
0.00882929,23,19
0.00748954,24,19
0.02028360,25,19
