Time,Iteration,#Processors
0.00217637,1,1
0.00174304,2,1
0.00173902,3,1
0.00172423,4,1
0.00172676,5,1
0.00172640,6,1
0.00173255,7,1
0.00172344,8,1
0.00173057,9,1
0.00202862,10,1
0.00173370,11,1
0.00172822,12,1
0.00203758,13,1
0.00172271,14,1
0.00173296,15,1
0.00173916,16,1
0.00173288,17,1
0.00173621,18,1
0.00172536,19,1
0.00203701,20,1
0.00172212,21,1
0.00203840,22,1
0.00172516,23,1
0.00171768,24,1
0.00171599,25,1
0.00172511,26,1
0.00172197,27,1
0.00172758,28,1
0.00173283,29,1
0.00173497,30,1
0.00172440,31,1
0.00172945,32,1
0.00174576,33,1
0.00173119,34,1
0.00173457,35,1
0.00172631,36,1
0.00171894,37,1
0.00172715,38,1
0.00173453,39,1
0.00173145,40,1
0.00173677,41,1
0.00172923,42,1
0.00173519,43,1
0.00172663,44,1
0.00173185,45,1
0.00174518,46,1
0.00173957,47,1
0.00173597,48,1
0.00172924,49,1
0.00172165,50,1
0.00266341,1,2
0.00529168,2,2
0.00348038,3,2
0.00261535,4,2
0.00252615,5,2
0.00083499,6,2
0.00236060,7,2
0.00222726,8,2
0.00145213,9,2
0.00859141,10,2
0.00131703,11,2
0.00422169,12,2
0.00164999,13,2
0.00242248,14,2
0.00270412,15,2
0.00212437,16,2
0.00229251,17,2
0.00242662,18,2
0.00269096,19,2
0.00094164,20,2
0.00232904,21,2
0.00237819,22,2
0.00248034,23,2
0.00253486,24,2
0.00259179,25,2
0.00355165,26,2
0.00264344,27,2
0.00238736,28,2
0.00262562,29,2
0.00279858,30,2
0.01231990,31,2
0.00261646,32,2
0.00248565,33,2
0.00196262,34,2
0.00130175,35,2
0.00275927,36,2
0.00240131,37,2
0.00337881,38,2
0.00343440,39,2
0.00213787,40,2
0.00164150,41,2
0.00240427,42,2
0.00235071,43,2
0.00262715,44,2
0.00097412,45,2
0.00217061,46,2
0.00255150,47,2
0.00090746,48,2
0.00233291,49,2
0.00240618,50,2
0.00232544,1,3
0.00265192,2,3
0.00234597,3,3
0.00352833,4,3
0.00233960,5,3
0.00255567,6,3
0.00254806,7,3
0.00257532,8,3
0.00364621,9,3
0.00253048,10,3
0.00235621,11,3
0.00252481,12,3
0.00251547,13,3
0.00245638,14,3
0.00228058,15,3
0.00212801,16,3
0.00231353,17,3
0.00360912,18,3
0.00244270,19,3
0.00251453,20,3
0.00216501,21,3
0.00254351,22,3
0.00265564,23,3
0.00245403,24,3
0.00252146,25,3
0.00242888,26,3
0.00241266,27,3
0.00262484,28,3
0.00381631,29,3
0.00252448,30,3
0.00237974,31,3
0.00242801,32,3
0.00254623,33,3
0.00337895,34,3
0.00279659,35,3
0.00209490,36,3
0.00243214,37,3
0.00249692,38,3
0.00323251,39,3
0.00233336,40,3
0.00233767,41,3
0.00245204,42,3
0.00236199,43,3
0.00193248,44,3
0.00260201,45,3
0.00237655,46,3
0.00245363,47,3
0.00241087,48,3
0.00227452,49,3
0.00242114,50,3
0.00406749,1,4
0.00303128,2,4
0.00347399,3,4
0.00351757,4,4
0.00132518,5,4
0.00388340,6,4
0.00358114,7,4
0.00468585,8,4
0.00272922,9,4
0.00384814,10,4
0.00353779,11,4
0.00269704,12,4
0.00348125,13,4
0.00492993,14,4
0.00460475,15,4
0.00244375,16,4
0.00349821,17,4
0.00359191,18,4
0.00358849,19,4
0.00352960,20,4
0.00339861,21,4
0.00470288,22,4
0.00362276,23,4
0.00488253,24,4
0.00341740,25,4
0.00499820,26,4
0.00362018,27,4
0.00126988,28,4
0.00255969,29,4
0.00209679,30,4
0.00394539,31,4
0.00369300,32,4
0.00362604,33,4
0.00480701,34,4
0.00345452,35,4
0.00225384,36,4
0.00359410,37,4
0.00347423,38,4
0.00353784,39,4
0.00470910,40,4
0.00237082,41,4
0.00365306,42,4
0.00311302,43,4
0.00461430,44,4
0.00497363,45,4
0.00362105,46,4
0.00243325,47,4
0.00369952,48,4
0.00379299,49,4
0.00358097,50,4
0.00483620,1,5
0.00449420,2,5
0.00510633,3,5
0.00482412,4,5
0.00401786,5,5
0.00449507,6,5
0.00478109,7,5
0.00431518,8,5
0.00417192,9,5
0.00626597,10,5
0.00421897,11,5
0.00423362,12,5
0.00458535,13,5
0.00456881,14,5
0.00528150,15,5
0.00472483,16,5
0.00519568,17,5
0.00487779,18,5
0.00350540,19,5
0.00496013,20,5
0.00481674,21,5
0.00427723,22,5
0.00477804,23,5
0.00471899,24,5
0.00497755,25,5
0.00580277,26,5
0.00344956,27,5
0.00368616,28,5
0.00382922,29,5
0.00431902,30,5
0.00208176,31,5
0.00341336,32,5
0.00462796,33,5
0.00472149,34,5
0.00474104,35,5
0.00450633,36,5
0.00361877,37,5
0.00392382,38,5
0.00553803,39,5
0.00544370,40,5
0.00480450,41,5
0.00482455,42,5
0.00438986,43,5
0.00372487,44,5
0.00479788,45,5
0.00463282,46,5
0.00435110,47,5
0.00459242,48,5
0.00347507,49,5
0.00437798,50,5
0.00573948,1,6
0.00445358,2,6
0.00479828,3,6
0.00488312,4,6
0.00483775,5,6
0.00423712,6,6
0.00514232,7,6
0.00576952,8,6
0.00328846,9,6
0.00698528,10,6
0.00566712,11,6
0.00606245,12,6
0.00465555,13,6
0.00485902,14,6
0.00624960,15,6
0.00424136,16,6
0.00609488,17,6
0.00351496,18,6
0.00571494,19,6
0.00521346,20,6
0.00474046,21,6
0.00475507,22,6
0.00657464,23,6
0.00531455,24,6
0.00518877,25,6
0.00454888,26,6
0.00613864,27,6
0.00490978,28,6
0.00571138,29,6
0.00564765,30,6
0.00739851,31,6
0.00457580,32,6
0.00582744,33,6
0.00491396,34,6
0.00647049,35,6
0.00448517,36,6
0.00568889,37,6
0.00339297,38,6
0.00541567,39,6
0.00467196,40,6
0.00585461,41,6
0.00482545,42,6
0.00592963,43,6
0.00556254,44,6
0.00436311,45,6
0.00597493,46,6
0.00501240,47,6
0.00458001,48,6
0.00619992,49,6
0.00526332,50,6
0.00363091,1,7
0.00628280,2,7
0.00482147,3,7
0.00582676,4,7
0.00626153,5,7
0.00689033,6,7
0.00589318,7,7
