Distribution    Topology      Runtime [sec]    Matrix Time [sec]    #Processors
--------------  ----------  ---------------  -------------------  -------------
2400x100x100    6x4                0.698996             0.652052             24
2400x100x100    4x6                0.711548             0.655411             24
2400x100x100    8x3                0.730151             0.712003             24
2400x100x100    3x8                0.675283             0.651967             24
2400x100x100    12x2               0.771247             0.722535             24
2400x100x100    2x12               0.740423              0.71603             24
2400x100x100    24x1               0.800203             0.781791             24
2400x100x100    1x24               0.686056             0.655773             24
2400x100x100    24x1x1             0.725771             0.690369             24
2400x100x100    1x24x1             0.690051             0.669033             24
2400x100x100    1x1x24             0.692123             0.655235             24
2400x100x100    12x2x1             0.682332             0.657235             24
2400x100x100    1x12x2             0.665184             0.652555             24
2400x100x100    2x1x12             0.701445             0.653177             24
2400x100x100    6x2x2              0.701053             0.655619             24
2400x100x100    2x6x2               0.71236             0.653616             24
2400x100x100    2x2x6              0.737935             0.712977             24
2400x100x100    4x3x2               0.68731             0.654347             24
2400x100x100    3x2x4              0.709059             0.656799             24
2400x100x100    2x3x4              0.683575             0.655055             24
2400x100x100    4x2x3              0.702853             0.652453             24
2400x100x100    3x4x2              0.702202             0.653784             24
2400x100x100    2x4x3              0.703956             0.654864             24
1200x200x100    6x4                0.685881             0.651186             24
1200x200x100    4x6                0.741425             0.695016             24
1200x200x100    8x3                0.726937             0.659073             24
1200x200x100    3x8                0.679308             0.653198             24
1200x200x100    12x2               0.703326             0.654225             24
1200x200x100    2x12               0.701296             0.654183             24
1200x200x100    24x1               0.716021             0.654521             24
1200x200x100    1x24                0.69248             0.655831             24
1200x200x100    24x1x1             0.752259             0.715474             24
1200x200x100    1x24x1             0.687713              0.65684             24
1200x200x100    1x1x24             0.697168             0.653296             24
1200x200x100    12x2x1             0.721415             0.653955             24
1200x200x100    1x12x2             0.693118             0.654745             24
1200x200x100    2x1x12             0.702856             0.653943             24
1200x200x100    6x2x2              0.695221             0.653925             24
1200x200x100    2x6x2              0.667593             0.654241             24
1200x200x100    2x2x6              0.714263             0.655525             24
1200x200x100    4x3x2              0.705962             0.654115             24
1200x200x100    3x2x4              0.716791             0.655984             24
1200x200x100    2x3x4              0.711345             0.654748             24
1200x200x100    4x2x3              0.687982             0.655052             24
1200x200x100    3x4x2              0.716359             0.655777             24
1200x200x100    2x4x3              0.717814              0.65421             24
800x300x100     6x4                0.704438             0.652302             24
800x300x100     4x6                0.700064              0.65141             24
800x300x100     8x3                0.711869             0.654375             24
800x300x100     3x8                0.710383             0.661874             24
800x300x100     12x2               0.677529             0.652615             24
800x300x100     2x12               0.768897              0.71976             24
800x300x100     24x1                0.69084             0.654333             24
800x300x100     1x24               0.760726             0.713464             24
800x300x100     24x1x1              0.74248             0.714361             24
800x300x100     1x24x1             0.715462             0.657174             24
800x300x100     1x1x24             0.704621             0.654073             24
800x300x100     12x2x1             0.684789             0.656874             24
800x300x100     1x12x2             0.710025             0.651471             24
800x300x100     2x1x12             0.685272             0.654252             24
800x300x100     6x2x2              0.683033             0.651527             24
800x300x100     2x6x2              0.742346             0.714473             24
800x300x100     2x2x6              0.675542             0.655404             24
800x300x100     4x3x2              0.745174             0.714549             24
800x300x100     3x2x4              0.707933             0.655828             24
800x300x100     2x3x4              0.677638             0.655161             24
800x300x100     4x2x3              0.684955             0.669089             24
800x300x100     3x4x2              0.679217             0.654799             24
800x300x100     2x4x3              0.668505             0.653745             24
