#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.03
2,1000,0.19,10.26
4,1000,0.20,20.37
8,1000,0.20,40.83
16,1000,0.19,85.41
32,1000,0.23,138.55
64,1000,0.23,280.84
128,1000,0.30,420.49
256,1000,0.33,773.72
512,1000,0.40,1284.35
1024,1000,0.50,2061.45
2048,1000,0.74,2760.23
4096,1000,1.12,3661.37
8192,1000,1.85,4417.02
16384,1000,2.93,5583.04
32768,1000,4.72,6945.44
65536,640,8.39,7813.70
131072,320,14.94,8775.98
262144,160,13.72,19106.92
524288,80,27.51,19056.46
1048576,40,57.87,18119.11
2097152,20,149.44,14033.47
4194304,10,320.44,13089.12
8388608,5,863.47,9714.96
16777216,2,2308.46,7267.70
33554432,1,5221.30,6426.46
67108864,1,10425.42,6437.04
134217728,1,20793.52,6454.79
268435456,1,41652.88,6444.58
