#mpirun  --map-by core --mca pml ob1 --mca btl self,tcp -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,5.40,0.00
1,1000,5.54,0.18
2,1000,5.54,0.36
4,1000,5.53,0.72
8,1000,5.53,1.45
16,1000,5.53,2.89
32,1000,5.54,5.77
64,1000,5.55,11.53
128,1000,5.63,22.75
256,1000,5.67,45.18
512,1000,5.67,90.23
1024,1000,6.29,162.84
2048,1000,6.12,334.90
4096,1000,7.08,578.45
8192,1000,7.57,1082.68
16384,1000,9.81,1670.78
32768,1000,15.97,2051.33
65536,640,30.50,2149.02
131072,320,43.33,3024.81
262144,160,61.58,4256.79
524288,80,95.91,5466.46
1048576,40,161.49,6493.30
2097152,20,304.42,6889.12
4194304,10,610.35,6871.92
8388608,5,1504.51,5575.65
16777216,2,3252.02,5159.02
33554432,1,6510.11,5154.20
67108864,1,12710.50,5279.80
134217728,1,25247.04,5316.18
268435456,1,50090.64,5358.99
