#mpirun  --map-by core --mca pml ob1 --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.28,3.57
2,1000,0.28,7.15
4,1000,0.28,14.21
8,1000,0.28,28.13
16,1000,0.29,55.07
32,1000,0.30,106.67
64,1000,0.33,192.08
128,1000,0.38,336.93
256,1000,0.44,580.41
512,1000,0.59,867.50
1024,1000,0.68,1499.78
2048,1000,0.77,2650.94
4096,1000,1.68,2436.35
8192,1000,1.97,4162.04
16384,1000,2.63,6230.95
32768,1000,3.71,8830.30
65536,640,5.02,13048.19
131072,320,7.60,17254.89
262144,160,18.42,14232.04
524288,80,37.58,13952.49
1048576,40,87.63,11965.58
2097152,20,212.75,9857.40
4194304,10,429.30,9770.17
8388608,5,1489.87,5630.45
16777216,2,3714.93,4516.16
33554432,1,7494.81,4477.02
67108864,1,14942.85,4491.04
134217728,1,29859.42,4494.99
268435456,1,59674.00,4498.37
