mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.99
2,1000,0.25,8.00
4,1000,0.25,16.11
8,1000,0.25,32.25
16,1000,0.25,64.42
32,1000,0.30,107.88
64,1000,0.29,218.78
128,1000,0.39,331.88
256,1000,0.44,585.14
512,1000,0.47,1089.98
1024,1000,0.59,1736.36
2048,1000,0.84,2444.55
4096,1000,1.21,3378.81
8192,1000,1.98,4129.36
16384,1000,3.67,4468.38
32768,1000,4.41,7433.51
65536,640,6.03,10871.56
131072,320,8.35,15696.46
262144,160,12.45,21059.34
524288,80,23.93,21905.71
1048576,40,50.74,20666.15
2097152,20,135.43,15484.73
4194304,10,308.78,13583.31
8388608,5,906.68,9252.00
16777216,2,2379.10,7051.91
33554432,1,5321.88,6305.00
67108864,1,10888.53,6163.26
134217728,1,21518.09,6237.44
268435456,1,43013.71,6240.69
536870912,1,85059.31,6311.72
