mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.31
2,1000,0.23,8.58
4,1000,0.23,17.20
8,1000,0.23,34.34
16,1000,0.23,68.57
32,1000,0.24,131.30
64,1000,0.24,261.85
128,1000,0.26,497.12
256,1000,0.28,917.29
512,1000,0.42,1215.23
1024,1000,0.46,2237.07
2048,1000,0.59,3452.50
4096,1000,0.88,4652.46
8192,1000,1.45,5665.57
16384,1000,2.36,6935.05
32768,1000,3.55,9235.17
65536,640,5.67,11556.08
131072,320,8.66,15138.52
262144,160,15.17,17279.27
524288,80,41.66,12585.95
1048576,40,82.06,12778.84
2097152,20,155.57,13480.65
4194304,10,390.26,10747.41
8388608,5,1137.32,7375.77
16777216,2,2457.53,6826.86
33554432,1,5872.20,5714.12
67108864,1,11678.85,5746.19
134217728,1,23535.14,5702.86
268435456,1,48376.02,5548.94
536870912,1,101371.68,5296.06
