mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.99,0.00
1,1000,2.90,0.35
2,1000,2.86,0.70
4,1000,2.91,1.37
8,1000,2.81,2.85
16,1000,2.85,5.61
32,1000,3.03,10.55
64,1000,2.67,23.97
128,1000,2.52,50.85
256,1000,2.61,98.14
512,1000,2.76,185.42
1024,1000,2.67,384.14
2048,1000,2.86,716.10
4096,1000,3.33,1231.22
8192,1000,3.31,2478.47
16384,1000,3.46,4741.30
32768,1000,4.40,7444.07
65536,640,5.83,11241.33
131072,320,8.75,14974.64
262144,160,14.23,18424.14
524288,80,30.10,17418.38
1048576,40,85.40,12278.98
2097152,20,192.55,10891.39
4194304,10,488.30,8589.52
8388608,5,1705.55,4918.41
16777216,2,3973.52,4222.26
33554432,1,8057.57,4164.34
67108864,1,16178.74,4147.97
134217728,1,32429.74,4138.72
268435456,1,64494.78,4162.13
536870912,1,127464.56,4211.92
