mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.77,0.00
1,1000,4.83,0.21
2,1000,4.82,0.41
4,1000,4.83,0.83
8,1000,4.82,1.66
16,1000,4.82,3.32
32,1000,4.81,6.65
64,1000,4.85,13.20
128,1000,4.86,26.33
256,1000,4.90,52.28
512,1000,6.50,78.74
1024,1000,6.63,154.41
2048,1000,6.90,296.82
4096,1000,7.57,541.04
8192,1000,8.35,981.49
16384,1000,14.86,1102.34
32768,1000,22.16,1478.91
65536,640,39.78,1647.42
131072,320,74.46,1760.41
262144,160,53.62,4889.13
524288,80,88.51,5923.42
1048576,40,151.22,6934.19
2097152,20,281.87,7440.13
4194304,10,628.67,6671.68
8388608,5,1459.08,5749.23
16777216,2,3161.56,5306.63
33554432,1,6483.86,5175.07
67108864,1,12898.48,5202.85
134217728,1,25627.58,5237.24
268435456,1,51377.74,5224.74
536870912,1,102074.90,5259.58
