mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.51,0.00
1,1000,0.55,1.80
2,1000,0.54,3.72
4,1000,0.53,7.48
8,1000,0.53,15.10
16,1000,0.56,28.48
32,1000,0.53,60.68
64,1000,0.52,122.19
128,1000,0.58,220.94
256,1000,0.55,461.51
512,1000,0.66,778.20
1024,1000,0.76,1349.98
2048,1000,0.90,2277.40
4096,1000,1.13,3636.67
8192,1000,1.52,5384.23
16384,1000,2.31,7078.76
32768,1000,3.43,9540.84
65536,640,5.61,11687.00
131072,320,8.67,15116.10
262144,160,14.87,17629.84
524288,80,41.52,12627.97
1048576,40,81.66,12841.33
2097152,20,154.06,13612.54
4194304,10,382.19,10974.36
8388608,5,1107.00,7577.80
16777216,2,2518.83,6660.73
33554432,1,5917.91,5669.98
67108864,1,11880.02,5648.89
134217728,1,23811.98,5636.56
268435456,1,49447.87,5428.66
536870912,1,102998.89,5212.40
