mpiexec -n 2 -ppn 1 -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.04,0.00
1,1000,1.05,0.96
2,1000,1.06,1.89
4,1000,1.06,3.76
8,1000,1.05,7.62
16,1000,1.05,15.23
32,1000,1.07,29.91
64,1000,1.20,53.48
128,1000,1.24,103.24
256,1000,1.46,175.15
512,1000,1.54,332.33
1024,1000,1.69,606.91
2048,1000,2.34,876.37
4096,1000,3.10,1322.47
8192,1000,4.02,2036.67
16384,1000,5.72,2864.20
32768,1000,9.37,3495.55
65536,640,12.08,5423.62
131072,320,20.86,6282.24
262144,160,32.30,8115.27
524288,80,54.80,9567.90
1048576,40,98.42,10654.10
2097152,20,181.94,11526.75
4194304,10,351.89,11919.49
8388608,5,690.30,12152.16
16777216,2,1373.69,12213.25
33554432,1,2761.94,12148.85
67108864,1,5519.48,12158.55
134217728,1,11005.13,12195.93
268435456,1,21906.01,12253.96
536870912,1,43873.18,12236.88
