mpiexec -n 2 -ppn 1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.76,0.00
1,1000,9.19,0.11
2,1000,8.35,0.24
4,1000,8.27,0.48
8,1000,8.26,0.97
16,1000,8.30,1.93
32,1000,8.28,3.87
64,1000,8.30,7.71
128,1000,8.44,15.17
256,1000,8.63,29.66
512,1000,11.01,46.51
1024,1000,11.57,88.50
2048,1000,13.69,149.62
4096,1000,15.51,264.16
8192,1000,17.44,469.69
16384,1000,26.71,613.43
32768,1000,38.00,862.31
65536,640,65.44,1001.48
131072,320,121.76,1076.49
262144,160,169.89,1543.00
524288,80,252.86,2073.44
1048576,40,423.62,2475.26
2097152,20,758.70,2764.15
4194304,10,1396.28,3003.90
8388608,5,2878.73,2913.99
16777216,2,6081.38,2758.79
33554432,1,12124.31,2767.53
67108864,1,24705.23,2716.38
134217728,1,49332.45,2720.68
268435456,1,98269.37,2731.63
536870912,1,199676.05,2688.71
