mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.64,0.00
1,1000,9.55,0.10
2,1000,9.57,0.21
4,1000,9.54,0.42
8,1000,9.57,0.84
16,1000,9.51,1.68
32,1000,9.49,3.37
64,1000,9.54,6.71
128,1000,9.59,13.34
256,1000,9.63,26.58
512,1000,12.05,42.49
1024,1000,12.52,81.79
2048,1000,13.63,150.27
4096,1000,14.95,274.00
8192,1000,18.00,455.23
16384,1000,27.75,590.36
32768,1000,40.05,818.22
65536,640,68.71,953.85
131072,320,128.56,1019.50
262144,160,151.30,1732.66
524288,80,249.97,2097.39
1048576,40,444.31,2360.02
2097152,20,833.82,2515.12
4194304,10,1679.80,2496.91
8388608,5,3489.74,2403.79
16777216,2,7191.72,2332.85
33554432,1,14546.24,2306.74
67108864,1,28721.06,2336.57
134217728,1,57024.14,2353.70
268435456,1,112967.77,2376.21
536870912,1,225938.36,2376.18
