mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.54
4,1000,0.44,9.02
8,1000,0.44,18.31
16,1000,0.44,36.41
32,1000,0.63,51.11
64,1000,0.62,103.16
128,1000,1.01,126.49
256,1000,1.12,229.24
512,1000,1.22,418.81
1024,1000,1.45,704.84
2048,1000,2.25,910.17
4096,1000,3.27,1250.84
8192,1000,5.20,1574.25
16384,1000,4.60,3565.26
32768,1000,5.49,5970.36
65536,640,6.72,9753.28
131072,320,9.50,13798.67
262144,160,12.74,20570.96
524288,80,25.84,20289.81
1048576,40,52.73,19885.46
2097152,20,136.44,15370.51
4194304,10,297.51,14097.96
8388608,5,639.73,13112.73
16777216,2,2106.78,7963.44
33554432,1,5930.04,5658.39
67108864,1,12533.04,5354.56
134217728,1,25107.64,5345.69
268435456,1,49643.48,5407.26
536870912,1,96745.44,5549.31
