mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.34
2,1000,0.43,4.65
4,1000,0.43,9.36
8,1000,0.43,18.79
16,1000,0.43,37.06
32,1000,0.46,69.33
64,1000,0.46,137.67
128,1000,0.57,224.99
256,1000,0.61,418.08
512,1000,0.84,608.27
1024,1000,0.90,1139.21
2048,1000,1.08,1888.18
4096,1000,1.45,2831.87
8192,1000,2.01,4081.87
16384,1000,3.28,4997.94
32768,1000,5.05,6486.80
65536,640,9.15,7159.85
131072,320,17.71,7402.54
262144,160,34.00,7709.37
524288,80,81.89,6402.50
1048576,40,166.53,6296.47
2097152,20,330.22,6350.84
4194304,10,654.62,6407.21
8388608,5,1370.55,6120.62
16777216,2,3819.86,4392.10
33554432,1,7803.14,4300.12
67108864,1,15571.30,4309.78
134217728,1,31192.85,4302.84
268435456,1,62430.52,4299.75
536870912,1,121679.96,4412.16
