mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.33
2,1000,0.44,4.59
4,1000,0.44,9.19
8,1000,0.43,18.47
16,1000,0.44,36.62
32,1000,0.47,67.83
64,1000,0.47,135.04
128,1000,0.57,225.23
256,1000,0.62,410.39
512,1000,0.82,623.93
1024,1000,0.89,1148.15
2048,1000,1.06,1936.91
4096,1000,1.52,2703.16
8192,1000,1.99,4122.34
16384,1000,3.27,5015.37
32768,1000,5.12,6398.25
65536,640,9.40,6975.28
131072,320,18.09,7247.48
262144,160,34.78,7537.95
524288,80,83.36,6289.24
1048576,40,169.62,6182.04
2097152,20,337.08,6221.50
4194304,10,668.76,6271.72
8388608,5,1386.72,6049.23
16777216,2,3717.51,4513.03
33554432,1,7930.05,4231.30
67108864,1,15940.06,4210.08
134217728,1,31835.45,4215.98
268435456,1,63839.48,4204.85
536870912,1,124551.07,4310.45
