mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.52,0.00
1,1000,1.52,0.66
2,1000,1.50,1.33
4,1000,1.52,2.64
8,1000,1.51,5.28
16,1000,1.51,10.57
32,1000,1.51,21.22
64,1000,1.57,40.67
128,1000,1.75,73.15
256,1000,1.87,136.96
512,1000,1.97,260.54
1024,1000,1.97,519.75
2048,1000,2.33,877.78
4096,1000,3.33,1230.37
8192,1000,3.91,2094.32
16384,1000,4.36,3761.88
32768,1000,5.07,6463.17
65536,640,6.44,10171.73
131072,320,9.37,13988.16
262144,160,15.59,16818.07
524288,80,31.84,16465.36
1048576,40,86.04,12187.14
2097152,20,203.66,10297.44
4194304,10,407.46,10293.66
8388608,5,1046.92,8012.62
16777216,2,3730.21,4497.66
33554432,1,9595.39,3496.93
67108864,1,19147.12,3504.91
134217728,1,38012.38,3530.90
268435456,1,75496.22,3555.61
536870912,1,148397.87,3617.78
