mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.03,0.00
1,1000,8.00,0.13
2,1000,8.02,0.25
4,1000,8.00,0.50
8,1000,7.99,1.00
16,1000,7.96,2.01
32,1000,7.98,4.01
64,1000,8.23,7.78
128,1000,8.20,15.60
256,1000,8.24,31.07
512,1000,10.10,50.71
1024,1000,10.28,99.59
2048,1000,10.75,190.56
4096,1000,12.10,338.64
8192,1000,13.20,620.77
16384,1000,22.97,713.42
32768,1000,35.09,933.91
65536,640,55.11,1189.23
131072,320,101.90,1286.23
262144,160,112.75,2324.97
524288,80,173.65,3019.15
1048576,40,308.96,3393.88
2097152,20,621.87,3372.35
4194304,10,1231.20,3406.69
8388608,5,2452.98,3419.76
16777216,2,5017.47,3343.76
33554432,1,10326.09,3249.48
67108864,1,20446.42,3282.18
134217728,1,41119.33,3264.10
268435456,1,81129.83,3308.71
536870912,1,162372.46,3306.42
