mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.67,0.00
1,1000,0.70,1.42
2,1000,0.74,2.70
4,1000,0.70,5.74
8,1000,0.70,11.46
16,1000,0.66,24.11
32,1000,0.71,44.94
64,1000,0.72,89.45
128,1000,0.78,163.30
256,1000,0.73,348.74
512,1000,1.16,440.87
1024,1000,1.26,812.09
2048,1000,1.36,1509.48
4096,1000,1.72,2374.92
8192,1000,2.35,3483.46
16384,1000,3.20,5118.50
32768,1000,5.41,6061.93
65536,640,9.44,6945.93
131072,320,18.15,7220.59
262144,160,34.67,7561.66
524288,80,85.16,6156.20
1048576,40,170.34,6155.84
2097152,20,338.08,6203.15
4194304,10,669.72,6262.74
8388608,5,1391.14,6030.03
16777216,2,3773.03,4446.61
33554432,1,7981.01,4204.28
67108864,1,15950.64,4207.28
134217728,1,31889.99,4208.77
268435456,1,63687.51,4214.88
536870912,1,124539.50,4310.85
