mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.07,0.0
1,1000,2.18,0.5
2,1000,2.16,1.02
4,1000,2.21,1.99
8,1000,2.18,4.01
16,1000,2.21,7.84
32,1000,2.21,15.89
64,1000,2.1,33.14
128,1000,1.99,69.88
256,1000,2.1,129.5
512,1000,2.17,254.76
1024,1000,2.19,502.48
2048,1000,2.37,914.23
4096,1000,2.77,1536.96
8192,1000,2.99,2795.69
16384,1000,3.34,4932.91
32768,1000,4.16,7900.94
65536,640,5.63,11672.11
131072,320,8.6,15260.02
262144,160,14.28,18371.43
524288,80,30.88,16981.48
1048576,40,84.41,12423.53
2097152,20,193.14,10858.37
4194304,10,483.39,8677.25
8388608,5,1699.24,4936.72
16777216,2,3977.15,4218.41
33554432,1,8105.61,4139.75
67108864,1,16257.37,4127.95
134217728,1,32409.84,4141.33
268435456,1,64280.4,4176.05
536870912,1,126589.28,4241.1
