mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.5,0.0
1,1000,0.52,1.94
2,1000,0.56,3.66
4,1000,0.54,7.54
8,1000,0.51,15.67
16,1000,0.51,31.48
32,1000,0.52,61.31
64,1000,0.51,124.8
128,1000,0.55,233.48
256,1000,0.54,477.37
512,1000,0.71,720.73
1024,1000,0.74,1382.87
2048,1000,0.89,2301.19
4096,1000,1.14,3593.51
8192,1000,1.5,5460.54
16384,1000,2.33,7020.23
32768,1000,3.46,9458.93
65536,640,5.69,11525.0
131072,320,8.65,15152.03
262144,160,14.86,17636.7
524288,80,41.38,12671.4
1048576,40,81.29,12899.68
2097152,20,154.02,13616.27
4194304,10,380.29,11029.81
8388608,5,1105.44,7588.59
16777216,2,2540.38,6604.55
33554432,1,5911.35,5676.28
67108864,1,11836.02,5669.93
134217728,1,23799.56,5639.52
268435456,1,49411.43,5432.67
536870912,1,103047.83,5209.92
