mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.21,0.0
1,1000,1.21,0.83
2,1000,1.21,1.65
4,1000,1.21,3.3
8,1000,1.21,6.62
16,1000,1.21,13.21
32,1000,1.24,25.73
64,1000,1.48,43.15
128,1000,1.53,83.46
256,1000,2.21,121.25
512,1000,1.89,270.68
1024,1000,2.35,452.62
2048,1000,2.8,731.65
4096,1000,3.65,1122.22
8192,1000,4.69,1745.61
16384,1000,6.41,2554.92
32768,1000,9.84,3330.63
65536,640,12.94,5065.11
131072,320,21.78,6021.28
262144,160,32.68,8020.52
524288,80,56.35,9307.45
1048576,40,98.18,10680.5
2097152,20,184.32,11378.09
4194304,10,354.35,11836.69
8388608,5,697.93,12019.26
16777216,2,1385.74,12107.05
33554432,1,2757.21,12169.69
67108864,1,5505.89,12188.6
134217728,1,10979.79,12224.08
268435456,1,21990.59,12206.85
536870912,1,44093.8,12175.71
