mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.56,0.0
1,1000,1.57,0.64
2,1000,1.57,1.28
4,1000,1.57,2.56
8,1000,1.57,5.11
16,1000,1.57,10.22
32,1000,1.56,20.5
64,1000,1.64,39.12
128,1000,1.83,70.14
256,1000,1.94,132.28
512,1000,2.01,254.88
1024,1000,2.05,501.19
2048,1000,2.41,849.25
4096,1000,3.51,1169.97
8192,1000,3.96,2069.93
16384,1000,4.35,3769.27
32768,1000,5.15,6357.78
65536,640,6.63,9884.95
131072,320,9.65,13586.95
262144,160,15.52,16893.4
524288,80,32.65,16058.27
1048576,40,85.73,12231.39
2097152,20,202.99,10331.3
4194304,10,412.21,10175.41
8388608,5,1057.46,7933.34
16777216,2,3744.45,4480.74
33554432,1,9576.46,3503.85
67108864,1,19185.37,3497.93
134217728,1,38065.04,3526.04
268435456,1,75446.82,3557.96
536870912,1,148084.13,3625.46
