mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.68,0.0
1,1000,0.67,1.49
2,1000,0.69,2.92
4,1000,0.67,6.02
8,1000,0.68,11.77
16,1000,0.66,24.1
32,1000,0.71,45.07
64,1000,0.71,90.69
128,1000,0.74,171.79
256,1000,0.73,351.15
512,1000,1.14,448.93
1024,1000,1.25,817.15
2048,1000,1.35,1517.67
4096,1000,1.78,2299.5
8192,1000,2.29,3578.79
16384,1000,3.24,5052.82
32768,1000,5.38,6095.4
65536,640,9.44,6946.32
131072,320,18.13,7230.44
262144,160,34.67,7560.99
524288,80,84.79,6183.39
1048576,40,170.68,6143.4
2097152,20,337.7,6210.19
4194304,10,670.26,6257.76
8388608,5,1390.01,6034.95
16777216,2,3750.6,4473.32
33554432,1,7957.43,4216.75
67108864,1,15910.97,4217.79
134217728,1,31863.06,4212.33
268435456,1,63715.49,4213.03
536870912,1,124593.16,4308.99
