mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.0
1,1000,0.29,3.48
2,1000,0.28,7.03
4,1000,0.29,14.09
8,1000,0.28,28.23
16,1000,0.31,52.25
32,1000,0.31,103.96
64,1000,0.35,184.55
128,1000,0.4,321.85
256,1000,0.48,537.52
512,1000,0.63,814.66
1024,1000,0.74,1381.0
2048,1000,0.87,2360.33
4096,1000,1.82,2251.59
8192,1000,2.1,3900.08
16384,1000,2.75,5960.02
32768,1000,3.81,8616.82
65536,640,5.71,11498.99
131072,320,9.9,13311.57
262144,160,19.17,13672.71
524288,80,39.52,13268.1
1048576,40,91.84,11417.77
2097152,20,221.93,9450.9
4194304,10,551.64,7627.18
8388608,5,1609.65,5211.47
16777216,2,3928.93,4270.2
33554432,1,8369.56,4009.12
67108864,1,16926.89,3966.29
134217728,1,33722.73,3982.2
268435456,1,65272.01,4112.56
536870912,1,129297.44,4153.57
