mpirun  --map-by core --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.2,0.0
1,1000,0.2,5.0
2,1000,0.2,10.16
4,1000,0.2,20.54
8,1000,0.19,41.52
16,1000,0.19,85.09
32,1000,0.23,142.0
64,1000,0.23,284.07
128,1000,0.31,410.75
256,1000,0.34,752.57
512,1000,0.4,1268.41
1024,1000,0.49,2075.77
2048,1000,0.74,2742.32
4096,1000,1.14,3616.27
8192,1000,1.9,4322.89
16384,1000,3.05,5372.61
32768,1000,4.94,6644.17
65536,640,8.32,7881.94
131072,320,15.0,8750.12
262144,160,13.53,19462.4
524288,80,24.58,21476.57
1048576,40,55.53,18901.52
2097152,20,143.62,14610.82
4194304,10,310.01,13543.61
8388608,5,874.64,9592.45
16777216,2,2299.44,7296.66
33554432,1,5191.08,6463.93
67108864,1,10439.89,6428.18
134217728,1,20894.23,6423.7
268435456,1,41686.78,6439.35
536870912,1,83303.52,6444.77
