mpirun  --map-by core --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.2,0.0
1,1000,0.21,4.92
2,1000,0.19,10.35
4,1000,0.19,20.63
8,1000,0.19,42.42
16,1000,0.19,84.32
32,1000,0.22,142.48
64,1000,0.22,287.04
128,1000,0.31,419.06
256,1000,0.33,773.24
512,1000,0.38,1328.87
1024,1000,0.49,2085.01
2048,1000,0.74,2758.48
4096,1000,1.12,3650.59
8192,1000,1.87,4380.9
16384,1000,3.0,5472.54
32768,1000,4.82,6804.76
65536,640,8.2,7998.39
131072,320,14.75,8890.21
262144,160,13.53,19450.04
524288,80,24.55,21522.98
1048576,40,54.96,19133.08
2097152,20,143.56,14618.46
4194304,10,307.85,13629.95
8388608,5,869.41,9649.24
16777216,2,2295.22,7310.0
33554432,1,5252.75,6388.29
67108864,1,10454.18,6419.38
134217728,1,20878.07,6428.65
268435456,1,41680.02,6440.4
536870912,1,83047.5,6464.72
