mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.38,0.0
1,1000,8.44,0.12
2,1000,8.51,0.23
4,1000,8.43,0.48
8,1000,8.43,0.95
16,1000,8.41,1.9
32,1000,8.44,3.8
64,1000,8.44,7.59
128,1000,8.79,14.58
256,1000,8.82,29.06
512,1000,8.89,57.66
1024,1000,9.96,102.9
2048,1000,9.46,216.57
4096,1000,11.18,366.6
8192,1000,11.94,686.36
16384,1000,15.92,1029.02
32768,1000,26.16,1252.97
65536,640,57.98,1130.62
131072,320,81.31,1612.15
262144,160,123.77,2118.22
524288,80,196.98,2661.83
1048576,40,326.7,3209.62
2097152,20,621.07,3376.68
4194304,10,1209.58,3467.6
8388608,5,2418.0,3469.25
16777216,2,5180.67,3238.58
33554432,1,10725.17,3128.58
67108864,1,20727.53,3239.13
134217728,1,40621.68,3305.28
268435456,1,82046.11,3274.36
536870912,1,166389.01,3228.08
