mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.0
1,1000,0.61,1.65
2,1000,0.61,3.31
4,1000,0.61,6.57
8,1000,0.6,13.25
16,1000,0.67,23.93
32,1000,0.73,43.9
64,1000,0.86,74.0
128,1000,1.04,123.33
256,1000,1.18,215.97
512,1000,1.05,487.92
1024,1000,1.44,715.07
2048,1000,1.75,1170.23
4096,1000,2.72,1507.19
8192,1000,3.38,2426.16
16384,1000,3.8,4312.9
32768,1000,4.99,6564.82
65536,640,6.29,10427.55
131072,320,11.24,11665.74
262144,160,20.02,13095.09
524288,80,39.51,13272.13
1048576,40,90.86,11548.07
2097152,20,217.45,9646.05
4194304,10,439.14,9568.9
8388608,5,1081.42,7757.6
16777216,2,3899.41,4302.76
33554432,1,9946.07,3375.81
67108864,1,19704.96,3405.7
134217728,1,38941.89,3446.62
268435456,1,78548.57,3419.83
536870912,1,152382.93,3524.71
