mpirun  --map-by socket --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.4,0.0
1,1000,0.4,2.51
2,1000,0.4,5.03
4,1000,0.4,10.07
8,1000,0.4,20.04
16,1000,0.4,39.95
32,1000,0.56,56.41
64,1000,0.56,114.38
128,1000,0.87,146.83
256,1000,0.91,282.81
512,1000,1.11,461.46
1024,1000,1.31,783.97
2048,1000,2.09,979.49
4096,1000,3.02,1359.0
8192,1000,4.86,1684.89
16384,1000,7.68,2137.61
32768,1000,13.6,2412.39
65536,640,24.97,2627.76
131072,320,47.22,2780.2
262144,160,14.04,18797.01
524288,80,25.43,20779.46
1048576,40,55.78,18834.53
2097152,20,144.4,14526.14
4194304,10,298.05,14074.68
8388608,5,619.12,13552.92
16777216,2,1907.69,8795.76
33554432,1,5607.43,5984.51
67108864,1,12010.67,5587.84
134217728,1,23975.84,5598.57
268435456,1,47810.76,5614.98
536870912,1,95450.85,5624.99
