mpirun  --map-by socket --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.0
1,1000,0.4,2.48
2,1000,0.4,4.97
4,1000,0.4,10.01
8,1000,0.4,20.04
16,1000,0.41,39.48
32,1000,0.56,56.89
64,1000,0.56,115.01
128,1000,0.89,144.52
256,1000,0.93,274.81
512,1000,1.12,455.85
1024,1000,1.32,771.69
2048,1000,2.11,969.98
4096,1000,3.03,1349.67
8192,1000,4.89,1675.16
16384,1000,7.61,2155.86
32768,1000,13.46,2436.79
65536,640,24.75,2648.71
131072,320,46.69,2808.55
262144,160,14.75,17803.72
524288,80,26.9,19558.95
1048576,40,57.14,18370.64
2097152,20,144.65,14508.39
4194304,10,299.66,13997.26
8388608,5,620.58,13518.3
16777216,2,1926.88,8707.91
33554432,1,5596.74,5996.03
67108864,1,11933.58,5623.56
134217728,1,23927.82,5609.56
268435456,1,47564.35,5643.64
536870912,1,95408.21,5627.33
