mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.0
1,1000,0.41,2.44
2,1000,0.4,5.02
4,1000,0.4,10.05
8,1000,0.4,20.12
16,1000,0.4,40.12
32,1000,0.56,57.2
64,1000,0.56,114.68
128,1000,0.88,145.19
256,1000,0.92,279.48
512,1000,1.13,452.79
1024,1000,1.31,781.93
2048,1000,2.1,976.17
4096,1000,3.02,1353.83
8192,1000,4.88,1679.27
16384,1000,7.85,2089.85
32768,1000,13.83,2371.93
65536,640,25.63,2559.26
131072,320,47.97,2735.73
262144,160,14.58,18033.65
524288,80,26.01,20248.16
1048576,40,53.98,19452.62
2097152,20,142.19,14751.8
4194304,10,298.02,14082.47
8388608,5,629.09,13335.8
16777216,2,2114.08,7936.47
33554432,1,6063.03,5536.96
67108864,1,12756.66,5264.89
134217728,1,25477.96,5270.71
268435456,1,50303.96,5338.47
536870912,1,98373.79,5457.53
