mpirun  --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.16,0.00
1,1000,5.25,0.19
2,1000,5.25,0.38
4,1000,5.25,0.76
8,1000,5.24,1.53
16,1000,5.23,3.06
32,1000,5.24,6.11
64,1000,5.27,12.15
128,1000,5.31,24.11
256,1000,5.34,47.97
512,1000,5.38,95.09
1024,1000,5.98,171.14
2048,1000,5.81,352.63
4096,1000,6.74,608.03
8192,1000,7.18,1141.06
16384,1000,9.34,1753.80
32768,1000,15.19,2156.96
65536,640,29.56,2217.02
131072,320,41.72,3141.86
262144,160,60.96,4300.07
524288,80,93.56,5603.76
1048576,40,157.03,6677.60
2097152,20,301.49,6956.05
4194304,10,618.19,6784.76
8388608,5,1487.10,5640.91
16777216,2,3190.56,5258.40
33554432,1,6654.31,5042.51
67108864,1,13236.62,5069.94
134217728,1,25603.73,5242.12
268435456,1,50806.89,5283.45
536870912,1,101522.11,5288.22
