mpirun  --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.47,0.00
1,1000,5.58,0.18
2,1000,5.58,0.36
4,1000,5.58,0.72
8,1000,5.60,1.43
16,1000,5.61,2.85
32,1000,5.61,5.70
64,1000,5.62,11.38
128,1000,5.70,22.45
256,1000,5.73,44.68
512,1000,5.75,89.04
1024,1000,6.31,162.36
2048,1000,6.13,334.30
4096,1000,7.16,571.81
8192,1000,7.59,1079.05
16384,1000,9.90,1655.08
32768,1000,15.79,2074.88
65536,640,30.49,2149.57
131072,320,43.30,3027.08
262144,160,61.82,4240.49
524288,80,95.95,5464.23
1048576,40,161.29,6501.04
2097152,20,305.10,6873.76
4194304,10,595.04,7048.77
8388608,5,1466.14,5721.56
16777216,2,3164.93,5300.97
33554432,1,6364.67,5271.98
67108864,1,12683.34,5291.10
134217728,1,25318.27,5301.22
268435456,1,50190.56,5348.33
536870912,1,100316.88,5351.75
