mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29

lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.45,0.00
1,1000,5.52,0.18
2,1000,5.54,0.36
4,1000,5.51,0.73
8,1000,5.53,1.45
16,1000,5.55,2.88
32,1000,5.55,5.76
64,1000,5.56,11.51
128,1000,5.66,22.63
256,1000,5.71,44.84
512,1000,5.74,89.20
1024,1000,6.37,160.69
2048,1000,6.11,335.03
4096,1000,7.17,571.47
8192,1000,7.59,1079.39
16384,1000,9.98,1641.90
32768,1000,16.08,2037.98
65536,640,31.00,2114.25
131072,320,43.60,3006.23
262144,160,63.25,4144.51
524288,80,97.95,5352.87
1048576,40,166.59,6294.21
2097152,20,313.57,6687.99
4194304,10,668.61,6273.13
8388608,5,1630.52,5144.74
16777216,2,3432.57,4887.66
33554432,1,7049.98,4759.51
67108864,1,13435.86,4994.76
134217728,1,25924.54,5177.25
268435456,1,51504.42,5211.89
536870912,1,102850.37,5219.92
