mpirun  --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.27,3.69
2,1000,0.27,7.52
4,1000,0.27,14.98
8,1000,0.27,29.89
16,1000,0.29,54.70
32,1000,0.31,104.86
64,1000,0.34,190.51
128,1000,0.38,338.79
256,1000,0.46,557.33
512,1000,0.62,821.28
1024,1000,0.75,1366.14
2048,1000,0.91,2241.35
4096,1000,1.78,2295.02
8192,1000,2.15,3813.86
16384,1000,2.67,6143.95
32768,1000,3.74,8752.69
65536,640,5.51,11895.20
131072,320,10.56,12416.57
262144,160,18.73,13998.28
524288,80,38.85,13495.59
1048576,40,91.49,11460.93
2097152,20,222.29,9434.37
4194304,10,436.84,9601.48
8388608,5,1512.08,5547.71
16777216,2,3738.13,4488.13
33554432,1,7457.85,4499.21
67108864,1,14970.66,4482.69
134217728,1,29914.78,4486.67
268435456,1,59668.51,4498.78
536870912,1,119383.29,4497.04
