mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29

lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.58
2,1000,0.28,7.23
4,1000,0.28,14.19
8,1000,0.28,28.34
16,1000,0.30,53.01
32,1000,0.30,105.94
64,1000,0.34,186.34
128,1000,0.40,316.66
256,1000,0.46,557.25
512,1000,0.64,795.73
1024,1000,0.74,1391.90
2048,1000,0.91,2259.97
4096,1000,1.81,2264.76
8192,1000,2.12,3858.01
16384,1000,2.71,6054.88
32768,1000,3.76,8708.51
65536,640,5.26,12455.93
131072,320,10.81,12129.73
262144,160,19.03,13778.76
524288,80,39.62,13232.91
1048576,40,94.29,11120.68
2097152,20,217.96,9621.63
4194304,10,568.22,7381.53
8388608,5,1609.18,5212.96
16777216,2,3908.62,4292.37
33554432,1,8369.97,4008.91
67108864,1,16770.09,4001.70
134217728,1,33045.68,4061.58
268435456,1,65143.75,4120.66
536870912,1,128111.38,4190.66
