mpirun  --map-by core --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.19,5.13
2,1000,0.20,10.11
4,1000,0.20,19.75
8,1000,0.19,42.06
16,1000,0.19,84.31
32,1000,0.22,143.48
64,1000,0.22,285.43
128,1000,0.30,422.07
256,1000,0.33,776.80
512,1000,0.37,1385.04
1024,1000,0.49,2085.57
2048,1000,0.74,2770.54
4096,1000,1.11,3683.12
8192,1000,1.86,4400.25
16384,1000,2.96,5539.42
32768,1000,4.80,6821.64
65536,640,8.28,7911.12
131072,320,15.02,8728.23
262144,160,12.59,20825.54
524288,80,24.83,21112.73
1048576,40,52.63,19922.81
2097152,20,144.49,14514.11
4194304,10,298.62,14045.44
8388608,5,863.41,9715.67
16777216,2,2241.31,7485.45
33554432,1,5141.63,6526.04
67108864,1,10339.37,6490.61
134217728,1,20681.63,6489.71
268435456,1,41249.85,6507.55
536870912,1,82827.21,6481.82
