mpirun  --map-by core --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.93
2,1000,0.20,10.19
4,1000,0.20,20.41
8,1000,0.20,40.58
16,1000,0.19,85.14
32,1000,0.23,138.21
64,1000,0.23,278.52
128,1000,0.31,409.27
256,1000,0.33,773.38
512,1000,0.40,1282.24
1024,1000,0.50,2059.08
2048,1000,0.74,2772.86
4096,1000,1.11,3694.21
8192,1000,1.87,4370.36
16384,1000,2.97,5509.16
32768,1000,4.82,6800.20
65536,640,8.15,8038.59
131072,320,14.89,8802.90
262144,160,12.97,20217.32
524288,80,23.87,21967.32
1048576,40,51.86,20219.35
2097152,20,137.97,15200.55
4194304,10,306.62,13679.18
8388608,5,856.62,9792.65
16777216,2,2293.31,7315.72
33554432,1,5202.22,6450.02
67108864,1,10445.09,6424.92
134217728,1,20882.37,6427.32
268435456,1,41693.02,6438.38
536870912,1,83192.45,6453.36
