mpirun  --map-by core --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.01
2,1000,0.20,9.93
4,1000,0.20,19.68
8,1000,0.19,42.24
16,1000,0.19,84.56
32,1000,0.22,145.25
64,1000,0.22,291.14
128,1000,0.31,408.46
256,1000,0.35,737.91
512,1000,0.41,1260.24
1024,1000,0.50,2059.28
2048,1000,0.74,2768.91
4096,1000,1.16,3531.94
8192,1000,2.07,3961.61
16384,1000,3.31,4943.75
32768,1000,5.42,6045.94
65536,640,8.97,7306.61
131072,320,16.36,8009.99
262144,160,15.16,17289.71
524288,80,27.48,19075.50
1048576,40,56.97,18407.08
2097152,20,145.93,14370.83
4194304,10,305.27,13739.80
8388608,5,844.14,9937.51
16777216,2,2246.11,7469.44
33554432,1,5144.62,6522.24
67108864,1,10319.33,6503.22
134217728,1,20674.76,6491.86
268435456,1,41305.16,6498.84
536870912,1,82521.26,6505.85
