mpirun  --map-by core --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.98
2,1000,0.19,10.69
4,1000,0.19,21.38
8,1000,0.19,42.76
16,1000,0.19,84.01
32,1000,0.23,141.14
64,1000,0.24,271.63
128,1000,0.31,415.11
256,1000,0.33,773.13
512,1000,0.39,1304.59
1024,1000,0.48,2112.44
2048,1000,0.74,2762.39
4096,1000,1.11,3683.44
8192,1000,1.85,4419.91
16384,1000,2.96,5534.79
32768,1000,4.79,6845.30
65536,640,8.07,8116.01
131072,320,14.72,8901.44
262144,160,13.09,20022.41
524288,80,24.09,21762.67
1048576,40,52.33,20039.47
2097152,20,137.90,15208.04
4194304,10,304.79,13761.34
8388608,5,864.60,9702.26
16777216,2,2287.08,7335.64
33554432,1,5235.14,6409.47
67108864,1,10457.80,6417.11
134217728,1,20852.64,6436.49
268435456,1,41662.71,6443.06
536870912,1,83169.33,6455.16
