mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 

lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.92
2,1000,0.19,10.47
4,1000,0.20,20.32
8,1000,0.20,40.61
16,1000,0.19,82.35
32,1000,0.23,140.16
64,1000,0.23,278.42
128,1000,0.32,400.45
256,1000,0.34,756.09
512,1000,0.41,1250.50
1024,1000,0.51,2021.83
2048,1000,0.75,2739.05
4096,1000,1.13,3622.44
8192,1000,1.91,4279.80
16384,1000,3.01,5434.33
32768,1000,4.96,6603.58
65536,640,8.40,7803.64
131072,320,15.87,8257.17
262144,160,14.00,18722.03
524288,80,24.85,21094.66
1048576,40,53.55,19580.92
2097152,20,143.87,14576.24
4194304,10,311.15,13480.21
8388608,5,910.27,9215.49
16777216,2,2385.48,7033.04
33554432,1,5345.43,6277.22
67108864,1,10850.90,6184.64
134217728,1,21658.55,6196.98
268435456,1,43030.22,6238.30
536870912,1,85434.38,6284.01
