mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,5.09
2,1000,0.20,10.18
4,1000,0.20,20.34
8,1000,0.19,41.13
16,1000,0.20,78.72
32,1000,0.23,141.05
64,1000,0.23,281.80
128,1000,0.31,409.39
256,1000,0.33,768.68
512,1000,0.38,1336.47
1024,1000,0.50,2028.21
2048,1000,0.75,2722.92
4096,1000,1.13,3627.67
8192,1000,1.89,4339.76
16384,1000,2.98,5506.06
32768,1000,4.83,6781.82
65536,640,8.35,7844.31
131072,320,15.16,8648.25
262144,160,12.59,20818.61
524288,80,23.50,22310.03
1048576,40,50.86,20616.49
2097152,20,136.07,15412.50
4194304,10,319.94,13109.49
8388608,5,915.28,9165.07
16777216,2,2373.97,7067.15
33554432,1,5339.04,6284.73
67108864,1,10853.76,6183.00
134217728,1,21661.26,6196.21
268435456,1,43036.59,6237.38
536870912,1,89916.07,5970.80
