mpirun  --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008, ct1pt-tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.28,0.00
1,1000,16.45,0.06
2,1000,16.45,0.12
4,1000,16.55,0.24
8,1000,16.42,0.49
16,1000,16.55,0.97
32,1000,16.51,1.94
64,1000,16.81,3.81
128,1000,17.44,7.34
256,1000,17.00,15.06
512,1000,17.38,29.46
1024,1000,17.72,57.78
2048,1000,39.54,51.80
4096,1000,39.78,102.96
8192,1000,40.26,203.47
16384,1000,42.10,389.20
32768,1000,49.17,666.47
65536,640,63.19,1037.07
131072,320,119.06,1100.88
262144,160,168.18,1558.71
524288,80,252.75,2074.34
1048576,40,418.09,2508.02
2097152,20,775.37,2704.70
4194304,10,1605.82,2611.94
8388608,5,3650.41,2297.99
16777216,2,7275.61,2305.95
33554432,1,14345.65,2339.00
67108864,1,28076.34,2390.23
134217728,1,55283.68,2427.80
268435456,1,109454.84,2452.48
536870912,1,219404.91,2446.94
