mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.16,0.00
1,1000,16.25,0.06
2,1000,16.22,0.12
4,1000,16.22,0.25
8,1000,16.30,0.49
16,1000,16.32,0.98
32,1000,16.33,1.96
64,1000,16.64,3.85
128,1000,17.25,7.42
256,1000,17.06,15.01
512,1000,17.49,29.27
1024,1000,18.02,56.84
2048,1000,39.44,51.93
4096,1000,40.02,102.34
8192,1000,40.90,200.28
16384,1000,42.77,383.04
32768,1000,51.52,636.01
65536,640,64.19,1020.93
131072,320,122.45,1070.38
262144,160,180.46,1452.61
524288,80,280.29,1870.51
1048576,40,458.60,2286.47
2097152,20,845.29,2480.99
4194304,10,1767.74,2372.69
8388608,5,3837.55,2185.93
16777216,2,7666.63,2188.34
33554432,1,15576.79,2154.13
67108864,1,30848.09,2175.46
134217728,1,61635.40,2177.61
268435456,1,117776.15,2279.20
536870912,1,247577.18,2168.50
