mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
, 
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.17,0.00
1,1000,16.26,0.06
2,1000,16.21,0.12
4,1000,16.23,0.25
8,1000,16.20,0.49
16,1000,16.19,0.99
32,1000,16.30,1.96
64,1000,16.49,3.88
128,1000,17.07,7.50
256,1000,17.01,15.05
512,1000,17.29,29.61
1024,1000,17.75,57.69
2048,1000,39.02,52.48
4096,1000,39.11,104.72
8192,1000,40.07,204.43
16384,1000,42.03,389.78
32768,1000,51.86,631.91
65536,640,62.27,1052.42
131072,320,117.76,1113.06
262144,160,161.37,1624.47
524288,80,240.68,2178.35
1048576,40,392.00,2674.94
2097152,20,722.58,2902.31
4194304,10,1480.53,2832.97
8388608,5,3300.75,2541.43
16777216,2,6803.89,2465.83
33554432,1,13678.46,2453.09
67108864,1,26594.83,2523.38
134217728,1,52055.18,2578.37
268435456,1,102928.84,2607.97
536870912,1,208979.16,2569.02
