mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008, ct1pt-tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.98,4.07
8,1000,0.98,8.15
16,1000,0.98,16.27
32,1000,1.00,31.88
64,1000,1.16,55.22
128,1000,1.19,107.24
256,1000,1.43,179.61
512,1000,1.49,343.04
1024,1000,1.65,622.22
2048,1000,2.31,887.09
4096,1000,3.18,1286.04
8192,1000,4.50,1820.64
16384,1000,6.31,2596.46
32768,1000,8.43,3887.39
65536,640,12.46,5259.01
131072,320,18.73,6998.36
262144,160,31.95,8205.89
524288,80,56.98,9201.75
1048576,40,97.52,10752.69
2097152,20,182.20,11510.25
4194304,10,352.78,11889.36
8388608,5,693.88,12089.39
16777216,2,1382.85,12132.37
33554432,1,2759.18,12161.02
67108864,1,5517.60,12162.69
134217728,1,11000.77,12200.76
268435456,1,22057.09,12170.03
536870912,1,44537.90,12054.25
