mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,0.99,4.03
8,1000,0.99,8.09
16,1000,1.00,16.04
32,1000,1.02,31.49
64,1000,1.14,56.13
128,1000,1.18,108.13
256,1000,1.42,180.92
512,1000,1.49,342.67
1024,1000,1.65,620.08
2048,1000,2.30,891.46
4096,1000,3.21,1276.96
8192,1000,4.47,1832.10
16384,1000,6.27,2611.41
32768,1000,8.37,3914.19
65536,640,12.22,5361.79
131072,320,18.50,7083.44
262144,160,31.96,8201.77
524288,80,57.56,9107.79
1048576,40,97.48,10757.15
2097152,20,182.18,11511.51
4194304,10,352.76,11890.10
8388608,5,692.77,12108.74
16777216,2,1382.14,12138.62
33554432,1,2755.90,12175.48
67108864,1,5514.68,12169.13
134217728,1,11042.76,12154.36
268435456,1,22084.59,12154.88
536870912,1,44581.40,12042.49
