mpirun  --map-by node --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008, ct1pt-tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.03
8,1000,0.98,8.13
16,1000,0.99,16.22
32,1000,1.01,31.75
64,1000,1.16,55.35
128,1000,1.20,106.92
256,1000,1.43,179.53
512,1000,1.49,342.49
1024,1000,1.66,616.90
2048,1000,2.32,883.62
4096,1000,3.18,1286.03
8192,1000,4.46,1835.87
16384,1000,6.25,2622.63
32768,1000,8.45,3879.08
65536,640,12.34,5312.89
131072,320,18.59,7049.44
262144,160,31.92,8213.68
524288,80,54.27,9660.10
1048576,40,98.46,10649.45
2097152,20,181.98,11523.95
4194304,10,353.43,11867.42
8388608,5,692.79,12108.52
16777216,2,1378.64,12169.35
33554432,1,2757.75,12167.31
67108864,1,5519.09,12159.42
134217728,1,11005.77,12195.22
268435456,1,22054.05,12171.71
536870912,1,44585.26,12041.44
