mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
, 
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,1.00,2.01
4,1000,0.99,4.04
8,1000,0.98,8.13
16,1000,0.99,16.21
32,1000,1.00,31.98
64,1000,1.16,55.17
128,1000,1.20,106.91
256,1000,1.42,180.23
512,1000,1.50,341.89
1024,1000,1.66,618.21
2048,1000,2.31,884.83
4096,1000,3.18,1286.67
8192,1000,4.47,1833.04
16384,1000,6.28,2608.92
32768,1000,8.47,3868.11
65536,640,12.37,5296.79
131072,320,18.64,7030.34
262144,160,32.68,8021.39
524288,80,56.68,9250.01
1048576,40,98.24,10674.12
2097152,20,182.27,11505.72
4194304,10,353.00,11881.89
8388608,5,693.67,12093.03
16777216,2,1378.45,12171.05
33554432,1,2759.74,12158.56
67108864,1,5500.81,12199.82
134217728,1,11014.36,12185.70
268435456,1,22074.74,12160.30
536870912,1,44524.90,12057.77
