mpirun  --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.00,0.00
1,1000,8.06,0.12
2,1000,8.08,0.25
4,1000,8.07,0.50
8,1000,8.05,0.99
16,1000,8.09,1.98
32,1000,8.10,3.95
64,1000,8.11,7.89
128,1000,8.45,15.15
256,1000,8.46,30.25
512,1000,8.53,60.05
1024,1000,9.54,107.35
2048,1000,9.06,226.15
4096,1000,10.88,376.56
8192,1000,11.64,703.92
16384,1000,15.54,1054.25
32768,1000,25.92,1264.22
65536,640,56.82,1153.40
131072,320,81.74,1603.62
262144,160,122.15,2146.12
524288,80,193.94,2703.36
1048576,40,324.42,3232.12
2097152,20,614.35,3413.59
4194304,10,1222.45,3431.06
8388608,5,2415.68,3472.57
16777216,2,4980.47,3368.60
33554432,1,10177.07,3297.06
67108864,1,20040.53,3348.66
134217728,1,40011.11,3354.51
268435456,1,79598.13,3372.38
536870912,1,162526.65,3303.28
