mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.39,0.00
1,1000,8.44,0.12
2,1000,8.43,0.24
4,1000,8.45,0.47
8,1000,8.46,0.95
16,1000,8.45,1.89
32,1000,8.47,3.78
64,1000,8.47,7.56
128,1000,8.80,14.55
256,1000,8.82,29.03
512,1000,8.90,57.52
1024,1000,9.96,102.82
2048,1000,9.57,213.95
4096,1000,11.23,364.77
8192,1000,11.92,687.51
16384,1000,15.89,1030.78
32768,1000,26.15,1252.94
65536,640,58.20,1125.96
131072,320,81.89,1600.56
262144,160,124.05,2113.13
524288,80,198.14,2646.10
1048576,40,328.29,3194.04
2097152,20,621.81,3372.68
4194304,10,1212.00,3460.64
8388608,5,2426.23,3457.47
16777216,2,5146.69,3259.81
33554432,1,10723.88,3128.94
67108864,1,21424.65,3132.32
134217728,1,40164.05,3341.74
268435456,1,80788.91,3322.68
536870912,1,168520.09,3185.80
