mpirun  --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.12,0.00
1,1000,8.24,0.12
2,1000,8.23,0.24
4,1000,8.19,0.49
8,1000,8.22,0.97
16,1000,8.21,1.95
32,1000,8.24,3.89
64,1000,8.28,7.73
128,1000,8.64,14.81
256,1000,8.66,29.57
512,1000,8.73,58.66
1024,1000,9.71,105.51
2048,1000,9.30,220.23
4096,1000,11.05,370.53
8192,1000,11.91,687.89
16384,1000,15.90,1030.40
32768,1000,26.09,1255.83
65536,640,57.46,1140.50
131072,320,82.36,1591.51
262144,160,123.37,2124.90
524288,80,197.23,2658.20
1048576,40,329.62,3181.14
2097152,20,627.82,3340.36
4194304,10,1244.55,3370.12
8388608,5,2462.65,3406.33
16777216,2,5051.17,3321.45
33554432,1,10368.78,3236.10
67108864,1,20422.25,3286.07
134217728,1,40844.70,3286.05
268435456,1,81556.52,3291.40
536870912,1,161717.96,3319.80
