mpirun  --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.61,1.63
2,1000,0.61,3.30
4,1000,0.61,6.55
8,1000,0.61,13.06
16,1000,0.65,24.73
32,1000,0.72,44.16
64,1000,0.86,74.57
128,1000,0.96,133.51
256,1000,1.23,207.88
512,1000,1.08,473.93
1024,1000,1.40,732.97
2048,1000,1.63,1252.72
4096,1000,2.72,1504.29
8192,1000,3.35,2445.57
16384,1000,3.60,4548.07
32768,1000,5.02,6521.79
65536,640,6.10,10740.10
131072,320,11.33,11570.08
262144,160,19.35,13545.18
524288,80,38.90,13479.03
1048576,40,89.05,11775.59
2097152,20,216.35,9693.34
4194304,10,397.92,10540.48
8388608,5,867.92,9665.20
16777216,2,3179.32,5276.99
33554432,1,8343.23,4021.76
67108864,1,16837.35,3985.71
134217728,1,33725.70,3979.69
268435456,1,67309.27,3988.09
536870912,1,134711.70,3985.33
