mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29

lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.61,1.65
2,1000,0.61,3.30
4,1000,0.61,6.55
8,1000,0.61,13.15
16,1000,0.66,24.06
32,1000,0.69,46.16
64,1000,0.80,80.27
128,1000,1.10,116.17
256,1000,1.15,222.82
512,1000,1.03,496.31
1024,1000,1.47,697.28
2048,1000,1.65,1242.68
4096,1000,2.74,1494.68
8192,1000,3.36,2437.01
16384,1000,3.96,4135.45
32768,1000,4.79,6841.10
65536,640,6.43,10187.84
131072,320,11.21,11689.12
262144,160,19.79,13246.73
524288,80,39.75,13189.69
1048576,40,90.74,11555.23
2097152,20,217.80,9628.77
4194304,10,478.66,8762.61
8388608,5,1099.01,7632.89
16777216,2,3890.69,4312.14
33554432,1,9894.88,3391.09
67108864,1,19690.36,3408.21
134217728,1,39002.25,3441.28
268435456,1,76722.43,3498.79
536870912,1,150577.25,3565.42
