mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.60,1.68
2,1000,0.60,3.34
4,1000,0.61,6.55
8,1000,0.58,13.77
16,1000,0.67,23.73
32,1000,0.74,43.17
64,1000,0.85,74.92
128,1000,0.97,132.07
256,1000,1.14,223.99
512,1000,1.01,507.44
1024,1000,1.39,735.17
2048,1000,1.78,1149.13
4096,1000,2.74,1496.84
8192,1000,3.41,2399.40
16384,1000,3.81,4302.59
32768,1000,4.96,6600.94
65536,640,6.48,10108.05
131072,320,11.47,11427.00
262144,160,20.22,12962.34
524288,80,39.42,13300.87
1048576,40,92.32,11358.07
2097152,20,218.17,9612.29
4194304,10,452.30,9273.38
8388608,5,1082.56,7748.87
16777216,2,3852.34,4355.08
33554432,1,9850.32,3406.43
67108864,1,19652.00,3414.86
134217728,1,38903.02,3450.06
268435456,1,80978.97,3314.88
536870912,1,150347.24,3570.87
