mpirun  --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.63,1.58
2,1000,0.64,3.14
4,1000,0.64,6.27
8,1000,0.63,12.71
16,1000,0.67,23.81
32,1000,0.67,47.94
64,1000,0.92,69.59
128,1000,1.06,120.58
256,1000,1.20,212.83
512,1000,1.26,407.69
1024,1000,1.43,714.26
2048,1000,1.67,1227.52
4096,1000,2.68,1526.71
8192,1000,3.29,2493.08
16384,1000,3.54,4627.35
32768,1000,4.88,6718.13
65536,640,6.37,10284.95
131072,320,11.41,11485.13
262144,160,19.92,13159.04
524288,80,39.82,13165.44
1048576,40,92.72,11308.76
2097152,20,224.36,9347.37
4194304,10,409.03,10254.25
8388608,5,887.94,9447.26
16777216,2,3253.74,5156.28
33554432,1,8488.05,3953.14
67108864,1,17117.38,3920.51
134217728,1,34632.20,3875.52
268435456,1,68215.40,3935.12
536870912,1,136414.34,3935.59
