mpirun  --map-by socket --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.49
2,1000,0.40,5.03
4,1000,0.40,10.00
8,1000,0.40,20.16
16,1000,0.40,40.20
32,1000,0.57,55.96
64,1000,0.55,115.47
128,1000,0.87,146.70
256,1000,0.95,270.02
512,1000,1.12,458.39
1024,1000,1.29,791.49
2048,1000,2.08,984.48
4096,1000,2.95,1386.59
8192,1000,4.69,1745.93
16384,1000,7.29,2247.98
32768,1000,12.84,2552.10
65536,640,23.31,2811.00
131072,320,44.16,2968.12
262144,160,13.11,20000.99
524288,80,22.82,22975.38
1048576,40,50.55,20742.26
2097152,20,136.83,15326.66
4194304,10,292.36,14346.45
8388608,5,589.76,14223.80
16777216,2,1872.08,8961.79
33554432,1,5464.10,6140.89
67108864,1,11915.01,5632.30
134217728,1,23855.43,5626.30
268435456,1,46965.22,5715.62
536870912,1,93937.76,5715.18
