mpirun  --map-by socket --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.53
2,1000,0.40,5.01
4,1000,0.40,10.04
8,1000,0.40,20.16
16,1000,0.41,39.37
32,1000,0.56,56.70
64,1000,0.56,115.12
128,1000,0.85,150.26
256,1000,0.87,293.65
512,1000,1.08,474.08
1024,1000,1.29,794.78
2048,1000,2.08,984.70
4096,1000,2.97,1380.90
8192,1000,4.80,1707.69
16384,1000,7.37,2223.41
32768,1000,13.26,2470.81
65536,640,24.14,2715.31
131072,320,45.61,2873.83
262144,160,13.16,19922.24
524288,80,23.08,22719.24
1048576,40,52.97,19795.22
2097152,20,140.72,14902.92
4194304,10,296.33,14153.97
8388608,5,607.46,13809.27
16777216,2,1884.20,8904.17
33554432,1,5671.91,5915.90
67108864,1,11914.59,5632.49
134217728,1,23855.56,5626.27
268435456,1,47525.03,5648.30
536870912,1,94898.07,5657.34
