mpirun  --map-by socket --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.56
2,1000,0.40,5.03
4,1000,0.39,10.25
8,1000,0.39,20.59
16,1000,0.40,39.98
32,1000,0.55,58.07
64,1000,0.55,115.63
128,1000,0.86,148.68
256,1000,0.92,278.79
512,1000,1.12,456.90
1024,1000,1.32,773.90
2048,1000,2.07,990.63
4096,1000,2.97,1378.30
8192,1000,4.77,1716.24
16384,1000,7.29,2247.60
32768,1000,12.82,2556.61
65536,640,23.96,2735.58
131072,320,45.76,2864.40
262144,160,14.25,18400.19
524288,80,25.33,20702.31
1048576,40,54.22,19338.12
2097152,20,141.80,14789.20
4194304,10,288.64,14531.37
8388608,5,606.13,13839.72
16777216,2,1843.00,9103.21
33554432,1,5390.64,6224.57
67108864,1,11726.89,5722.65
134217728,1,23501.60,5711.00
268435456,1,46942.56,5718.38
536870912,1,93959.49,5713.85
