mpirun  --map-by socket --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.41,2.42
2,1000,0.40,4.98
4,1000,0.40,9.95
8,1000,0.40,19.97
16,1000,0.40,39.86
32,1000,0.57,56.46
64,1000,0.55,115.47
128,1000,0.89,144.30
256,1000,0.93,274.91
512,1000,1.10,464.53
1024,1000,1.33,767.46
2048,1000,2.10,974.20
4096,1000,3.01,1358.60
8192,1000,4.83,1695.98
16384,1000,7.36,2226.89
32768,1000,13.06,2508.44
65536,640,24.22,2705.78
131072,320,45.16,2902.55
262144,160,14.68,17856.80
524288,80,28.73,18251.73
1048576,40,58.37,17963.22
2097152,20,151.29,13861.66
4194304,10,298.01,14074.21
8388608,5,623.57,13452.65
16777216,2,1922.85,8725.17
33554432,1,5528.82,6069.01
67108864,1,11930.26,5625.10
134217728,1,24262.35,5531.94
268435456,1,47555.06,5644.73
536870912,1,95082.91,5646.35
