mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.43,2.35
2,1000,0.40,5.00
4,1000,0.40,10.02
8,1000,0.40,20.20
16,1000,0.40,40.06
32,1000,0.55,57.76
64,1000,0.55,115.47
128,1000,0.87,147.49
256,1000,0.87,294.74
512,1000,1.10,467.02
1024,1000,1.30,787.84
2048,1000,2.07,991.10
4096,1000,2.95,1386.30
8192,1000,4.78,1712.07
16384,1000,7.48,2189.74
32768,1000,13.71,2389.96
65536,640,25.46,2574.38
131072,320,47.41,2764.41
262144,160,14.46,18124.57
524288,80,25.83,20300.89
1048576,40,53.14,19732.81
2097152,20,142.20,14747.72
4194304,10,297.10,14117.43
8388608,5,621.32,13501.31
16777216,2,2114.12,7935.81
33554432,1,5995.36,5596.73
67108864,1,12560.22,5342.97
134217728,1,25118.42,5343.40
268435456,1,49580.98,5414.08
536870912,1,98235.67,5465.13
