#mpirun  --map-by socket --mca pml ob1 --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#ct1pt-tnode007
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.65,1.54
2,1000,0.65,3.08
4,1000,0.66,6.10
8,1000,0.64,12.42
16,1000,0.70,22.90
32,1000,0.70,45.72
64,1000,0.94,68.36
128,1000,1.05,121.82
256,1000,1.21,211.64
512,1000,1.16,440.18
1024,1000,1.50,682.74
2048,1000,1.81,1129.78
4096,1000,2.72,1504.68
8192,1000,3.40,2412.67
16384,1000,3.67,4463.26
32768,1000,5.21,6294.09
65536,640,6.43,10199.95
131072,320,11.43,11463.89
262144,160,20.03,13084.87
524288,80,39.84,13161.22
1048576,40,94.30,11119.70
2097152,20,212.46,9870.71
4194304,10,407.62,10289.84
8388608,5,879.27,9540.43
16777216,2,3218.90,5212.10
33554432,1,8443.49,3974.00
67108864,1,17068.50,3931.74
134217728,1,34056.48,3941.03
268435456,1,68005.79,3947.24
